Reference period start date,Reference period end date,Child age group,Region
01072012,30062013,0 to 4,Central Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Central Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Central Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Central Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Central Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,Brisbane
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,Far North Queensland
01072012,30062013,0 to 4,North Queensland
01072012,30062013,0 to 4,South East Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South West Queensland
01072012,30062013,0 to 4,North Coast
01072012,30062013,0 to 4,South West Queensland
