Reference period  start date,Reference period end date,Length in out-of-home care
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
01072012,30062013,1 month to < 6 months
